dimension,metric,memory_cost,recursion_depth,total cost,n_1,k_1,theta_1,code_size_1,num_codes_1,m_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,num_codes_2,m_2,filter_cost_2,memory_cost_2,search_cost_2,n_3,k_3,theta_3,code_size_3,num_codes_3,m_3,filter_cost_3,memory_cost_3,search_cost_3
375,classical,0.0000011,1,132.293267996852,511,170,1.04087786992984,119.568120017048,1,8,128.022739783691,-inf,131.135439102918,,,,,,,,,,,,,,,,,,
375,classical,0.0000011,2,133.38440501226,511,170,1.56744873330467,1,0.69934940753366,8,103.899853697022,-inf,131.685055596185,511,170,1.04359429424172,117.964083253212,1,8,126.416180202401,-inf,129.527035502594,,,,,,,,,
375,classical,0.0000011,3,147.750392345717,511,170,1.14894362064308,75.3486679882799,0.415037499278844,8,114.746821399763,-inf,146.335354181249,511,170,1.40754721513413,14.621193361942,1.12916832366256,8,51.7667922397175,-inf,68.8574545864209,511,170,1.33581763433394,27.1019947400843,10.4115895593745,,43.0468244353521,-inf,42.5619727039293
375,classical,1.0000000,1,132.293267996852,511,170,1.04087786992984,119.568120017048,1,8,128.022739783691,-inf,131.135439102918,,,,,,,,,,,,,,,,,,
375,classical,1.0000000,2,133.38440501226,511,170,1.56744873330467,1,0.69934940753366,8,103.899853697022,-inf,131.685055596185,511,170,1.04359429424172,117.964083253212,1,8,126.416180202401,-inf,129.527035502594,,,,,,,,,
375,hardware_time,0.0000011,3,141.519127223421,511,170,1.44413904851182,11.0188956211216,0,2,109.285411222381,128.467432719465,140.518957301356,511,170,1.24331539703112,45.9917825906586,0.987836852842834,2,119.642106746349,126.46694150761,127.107890475983,511,170,1.21885159925766,45.728486221341,10.0899009482573,,68.9781310582751,69.626435206581,69.6272550546676
375,hardware_time,0.0000011,2,141.952230000948,511,170,1.1780892556129,53.3683199584887,12.5417307446648,3,121.573598863764,129.299842891933,124.562749601426,511,170,1.24064690961886,42.7073844805089,7.6299595062851,8,62.1644312780194,61.7773509598473,61.9708152896266,,,,,,,,,
375,hardware_time,0.0000011,1,147.87843715904,511,170,1.13224560060828,64.2225958183901,17.5842730538616,3,125.194571147561,129.311773278761,129.188517710051,,,,,,,,,,,,,,,,,,
375,hardware_time,1.0000000,3,155.748504104451,511,170,1.24353910256269,40.1371090721373,6.63823103476655,2,123.850594974477,149.079828661005,142.528630642951,511,170,1.30898894951248,29.381072015528,3.18271141137281,2,85.047582317964,98.9226649550613,95.7337124462655,511,170,1.39495578950023,18.9357316332883,0,,57.4643558572614,65.349606480461,65.3495786900227
375,hardware_time,1.0000000,1,158.913195188653,511,170,1.21679031257393,45.2308407691444,8.88605752233157,2,126.398881577898,149.088450138756,148.963103168936,,,,,,,,,,,,,,,,,,
375,hardware_time,1.0000000,2,161.641632504643,511,170,1.1780892556129,53.3683199584887,12.5417307446648,2,130.470088708286,149.099842643261,133.435511485782,511,170,1.35762892366168,23.000772203608,0.471507399992111,2,68.3172528205491,78.5948257191035,78.595380643429,,,,,,,,,
394,classical,0.0000011,1,137.91912208952,511,170,1.04118147029411,125.191319201308,1,8,133.651443007711,-inf,136.760963452918,,,,,,,,,,,,,,,,,,
394,classical,0.0000011,2,139.365820960356,511,170,1.3755573241201,19.1086265460556,0.999999192509301,8,110.217722375985,-inf,137.365821708607,511,170,1.08536331277852,106.122139263625,0.415037499278844,8,114.566015876381,-inf,117.68497633147,,,,,,,,,
394,classical,1.0000000,1,137.91912208952,511,170,1.04118147029411,125.191319201308,1,8,133.651443007711,-inf,136.760963452918,,,,,,,,,,,,,,,,,,
394,classical,1.0000000,2,139.365820960356,511,170,1.3755573241201,19.1086265460556,0.999999192509301,8,110.217722375985,-inf,137.365821708607,511,170,1.08536331277852,106.122139263625,0.415037499278844,8,114.566015876381,-inf,117.68497633147,,,,,,,,,
394,hardware_time,0.0000011,3,146.000161761308,511,170,1.23053222379874,48.6034495609364,3.93258176658263,2,132.135013608893,140.899623562014,140.215343056616,511,170,1.36349320438204,22.989234860381,0.000197748806765417,4,76.0156550897678,78.9861986432214,90.6112652525181,511,170,1.25667381305896,41.2805432505715,6.69074640113331,,59.7671046218781,59.0117555748599,59.1426256554477
394,hardware_time,0.0000011,2,148.781995941045,511,170,1.1780892556129,55.5988143462842,13.3558226250253,3,126.366486678992,135.374184108403,129.52732979986,511,170,1.24246851180448,44.3416110820065,7.72817169828067,8,64.213983603029,64.7805063667559,64.7809552617544,,,,,,,,,
394,hardware_time,0.0000011,1,154.525509514384,511,170,1.13540943598329,66.8431944854333,17.5737486035639,3,130.117517804725,135.93812000146,135.940003039438,,,,,,,,,,,,,,,,,,
394,hardware_time,1.0000000,2,162.36949096679,511,170,1.24353910256269,41.6975032722374,7.17529267187522,2,128.680146828854,155.154207912406,149.001279258134,511,170,1.30758280045691,30.6176837255343,3.66528602001681,2,88.1863665036968,102.704135797902,102.569646604331,,,,,,,,,
394,hardware_time,1.0000000,3,163.773012827026,511,170,1.43993658031167,11.7698378436294,0,2,113.71021414606,154.339578045144,162.770924771934,511,170,1.24353910256269,41.6154734151756,7.43319168871361,2,120.906091568871,143.554626911984,135.796606384597,511,170,1.33187082959844,27.9043668945728,1.23547661729603,,79.1765227779017,91.945452812906,91.945653204665
394,hardware_time,1.0000000,1,165.616146434822,511,170,1.21623104874502,47.9697351629511,8.77533819434991,2,131.817975629567,155.840690228512,155.840926158146,,,,,,,,,,,,,,,,,,
586,classical,0.0000011,1,195.554010423517,1023,341,1.04313090421205,181.898209570153,1,9,190.390896726027,-inf,194.47114659517,,,,,,,,,,,,,,,,,,
586,classical,0.0000011,2,197.26433381727,1023,341,1.30489833407811,46.5686519969251,1.00000000000001,9,153.757579549385,-inf,195.264333817206,1023,341,1.11829596281844,135.042234118571,1,9,143.49217123574,-inf,147.615171143589,,,,,,,,,
586,classical,1.0000000,1,195.554010423517,1023,341,1.04313090421205,181.898209570153,1,9,190.390896726027,-inf,194.47114659517,,,,,,,,,,,,,,,,,,
586,classical,1.0000000,2,197.26433381727,1023,341,1.30489833407811,46.5686519969251,1.00000000000001,9,153.757579549385,-inf,195.264333817206,1023,341,1.11829596281844,135.042234118571,1,9,143.49217123574,-inf,147.615171143589,,,,,,,,,
586,hardware_time,0.0000011,3,208.791089543121,1023,341,1.34177778885353,35.6533825758341,0.801205854006267,2,166.353975478622,198.428039183845,206.987973571988,1023,341,1.24353910256269,57.2244309562449,13.921135898161,2,150.986239254626,157.205508034934,153.385620318275,1023,341,1.26993635528755,49.9678741117044,13.2762753868025,,79.2564094146927,81.8274441126462,81.6961226615122
586,hardware_time,0.0000011,2,218.05386993287,1023,341,1.1780892556129,77.9904868700142,21.5906200572327,2,187.531512606112,196.460069208878,182.80296841976,1023,341,1.26105204989105,53.1232876415884,13.6817530887309,5,87.7765127520954,89.9818074052379,89.9827298050165,,,,,,,,,
586,hardware_time,0.0000011,1,222.937541512939,1023,341,1.15344968920749,87.6579998597594,24.7677761560289,2,192.367911136301,197.142862903805,197.144476527468,,,,,,,,,,,,,,,,,,
