dimension,metric,memory_cost,recursion_depth,total cost,n_0,k_0,theta_0,code_size_0,list size_0,buckets size_0,m_0,eta_0,pf_inv_0,num_codes_0,filter_cost_0,memory_cost_0,search_cost_0,n_1,k_1,theta_1,code_size_1,list size_1,buckets size_1,m_1,eta_1,pf_inv_1,num_codes_1,filter_cost_1,memory_cost_1,search_cost_1,n_2,k_2,theta_2,code_size_2,list size_2,buckets size_2,m_2,eta_2,pf_inv_2,num_codes_2,filter_cost_2,memory_cost_2,search_cost_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hardware_time,-19.8,1,149.4909699,511,170,1.156797283,51.9298795,97.72271891,97.72269949,3,0.459766979,182458,21.09318823,119.9821046,127.7840641,126.8564199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hardware_time,-19.8,2,142.8440778,511,170,1.247637707,34.28051923,97.7279112,99.3634067,2,0.461707792,4570497,11.4268398,119.8143232,129.4870722,129.9739798,511,170,1.234398733,35.0840765,65.06812282,65.08288747,6,0.999994671,2904646,15.94731634,75.86015298,78.83228014,78.42997168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hardware_time,-19.8,3,141.5220017,511,170,1.276272016,28.98856133,97.72907754,99.51007974,2,0.462142797,11414116,9.662854014,117.1682504,129.6754626,130.484661,511,170,1.299934372,21.4280437,70.12195578,70.52151841,3,0.999975808,22907400,12.85682341,82.20747384,86.71681698,87.23873088,511,170,1.300855401,26.23567814,46.38957342,49.09347471,8,0.99999999,23207085,8.893597285,54.61245919,55.82951888,55.30460547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,-19.8,1,224.8531811,1023,341,1.170540969,74.06667591,142.4796211,142.4795847,2,0.4566212,2553772477,29.34705438,184.4485668,194.9194044,193.9226504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,-19.8,2,214.5541074,1023,341,1.2544554,49.19064423,142.4837761,144.4616631,2,0.458183888,4.73E+11,16.39688141,172.0091428,197.066143,196.2398328,1023,341,1.245586751,49.23429838,95.2686824,94.84492682,3,0.999999985,2.77E+11,22.37922653,116.6090833,123.8199347,123.4903851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,hardware_time,-19.8,3,210.1913756,1023,341,1.296504938,37.75267211,142.4852356,144.0153281,2,0.458731728,4.74E+12,12.58422405,166.2895489,196.4905261,195.7014214,1023,341,1.289750822,37.10015502,106.2603195,105.5392697,2,0.999999297,3.27E+12,16.86370683,129.7381458,140.1487595,139.0808159,1023,341,1.294143618,36.68291332,68.4367744,68.43648057,5,1,4.04E+12,17.30616928,80.69994772,83.86119573,83.22955029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,hardware_time,-19.8,1,310.8463873,1023,341,1.178097245,99.37403929,193.6559277,193.6559246,2,0.46503752,45380412996,38.76891792,248.3020888,271.6838892,270.0111128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,hardware_time,-19.8,2,302.0696085,1023,341,1.221730476,78.94172879,193.6576148,193.6573901,2,0.465662742,1.10E+12,30.3796544,238.0834473,271.6862537,262.0385927,1023,341,1.25125601,66.49441607,114.7139847,114.7139314,3,1,8.36E+12,29.82071381,141.830252,153.2709371,145.010103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,hardware_time,-19.8,3,302.0659165,1023,341,1.221730476,78.94172879,193.6576148,193.6573901,2,0.465662742,1.10E+12,30.3796544,238.0834473,271.6862537,253.2595217,1023,341,1.311169819,44.10305369,114.7139847,114.7131008,2,1,3.61E+14,20.80751329,141.7149086,153.2703143,149.8817939,1023,341,1.339364591,37.08208886,69.80695461,70.61004709,4,1,1.69E+15,18.20629785,84.02536416,86.63831586,86.21801548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,hardware_time,-19.8,1,156.2636278,511,170,1.159007706,53.82784461,101.7733657,101.7731858,3,0.461324144,232172,21.79596426,124.6682433,133.8599137,132.9225062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
